"SYMBOL"	"energy"	"Nsites"
"CYP26B1"	-18.2	2
"HS3ST1"	-17.4	1
"PDK4"	-19.5	1
"ITGA3"	-19.5	1
"GPRC5A"	-18.3	2
"XYLT2"	-23.1	1
"SYT13"	-19.6	1
"SLC45A4"	-19.1	1
"AKAP11"	-17.8	1
"B4GALT7"	-19.3	2
"SLC39A9"	-17.2	2
"FAM13B"	-15.6	1
"OTC"	-15.8	1
"HOXC8"	-15.9	1
"LCP2"	-24.2	1
"MRPS10"	-20.3	2
"ARHGEF5"	-16.6	2
"NFE2L3"	-17	1
"RELT"	-16.2	1
"SLC2A3"	-18.5	1
"CREB3L3"	-13.9	1
"TRPM5"	-17	2
"OTUD5"	-20.3	1
"AQR"	-18.7	1
"YTHDC2"	-14.8	1
"EPHA8"	-16.6	1
"ST6GAL1"	-19.1	1
"NTN1"	-18.6	1
"MNT"	-15.4	1
"PTPN18"	-19.8	2
"C12orf5"	-19.7	1
"KIAA0141"	-19.6	1
"PCDHB2"	-16.7	1
"STRADB"	-17.2	1
"ZNF8"	-19.8	1
"EIF2AK1"	-15.7	1
"EPDR1"	-16.2	1
"MRPL28"	-14.3	1
"LAMP2"	-17.1	1
"SIRT4"	-22.4	1
"LTBP4"	-12.6	1
"GLG1"	-20.5	2
"NAT14"	-19.1	1
"CEBPE"	-14.6	1
"TGM1"	-14.3	1
"VNN3"	-14.8	1
"CBX5"	-20.3	1
"SNAP29"	-20.2	1
"MAPK1"	-19.6	1
"TCN2"	-18	1
"ASPHD2"	-18.2	1
"PIK3IP1"	-20.4	2
"CBY1"	-18.5	1
"GTPBP1"	-18	1
"TTLL12"	-18.2	1
"CABP7"	-16.7	1
"TAB1"	-20.9	1
"PHF5A"	-21.8	2
"ZBED4"	-17.4	1
"HSP90AA1"	-16.6	1
"SOS2"	-16.6	2
"GNPNAT1"	-18.7	1
"SPTLC2"	-24.2	1
"SIX4"	-19.1	1
"MTHFD1"	-22.4	1
"EFS"	-15.5	1
"NFKBIA"	-16.1	1
"PTPRA"	-19.6	1
"TUBB1"	-15.4	1
"TLDC2"	-17.3	1
"CHMP4B"	-17.2	1
"SLC25A43"	-17.1	1
"PGRMC1"	-17.9	1
"ATP1B4"	-17.2	1
"TLR8"	-14.5	1
"DHRS12"	-16.9	1
"C16orf70"	-19.2	1
"DHODH"	-20.2	2
"MMP15"	-21.1	2
"USB1"	-14.1	1
"USP31"	-20.8	2
"MGA"	-20.6	1
"CSK"	-19.5	1
"KIAA1199"	-15.1	1
"EHD4"	-21.2	1
"BMF"	-16.6	1
"VPS18"	-24.8	2
"AGO2"	-18.4	2
"PAG1"	-20.7	1
"GDAP1"	-14.7	1
"MTMR9"	-20.8	3
"GSR"	-19.8	3
"PNPLA6"	-17.5	1
"CYP4F3"	-18.2	1
"SF3A2"	-21	1
"ATP5SL"	-16.8	1
"CEACAM5"	-16.2	1
"CRX"	-19.1	1
"GTPBP10"	-22.5	2
"TFPI2"	-19.7	1
"ITGB8"	-17.4	2
"CAV2"	-17.5	1
"HOXA13"	-16.4	1
"WASL"	-19.2	2
"RBM28"	-20.3	1
"SERPINE1"	-19.5	1
"C1GALT1"	-18.7	2
"TNFSF8"	-21.9	1
"ST6GALNAC2"	-15.8	1
"NUFIP2"	-17.9	1
"KRT37"	-16.1	1
"PNPO"	-17	1
"RPS6KB1"	-16.7	1
"CPD"	-17.7	1
"DRG2"	-16.5	1
"SYNGR2"	-14.4	1
"ABI3"	-17.8	1
"DUSP3"	-18.6	1
"HLF"	-18.9	1
"TMEM97"	-16.9	1
"FAM149A"	-23.1	1
"ZNF259"	-19.4	1
"DTX4"	-24.1	1
"PANX1"	-16.3	2
"SART3"	-17.2	1
"CD69"	-14.5	1
"ASIC1"	-18.1	1
"MLEC"	-19.8	1
"SYT10"	-17.6	1
"OAS3"	-14.8	1
"KRR1"	-17.4	1
"GOLT1B"	-21.1	3
"HCFC2"	-18	1
"RAB35"	-18.7	1
"IYD"	-18.6	1
"ULBP1"	-16.1	1
"HLA-DOA"	-20.9	1
"B3GAT2"	-19.4	1
"SNX3"	-18.2	1
"TFEB"	-14.3	1
"TBP"	-17.2	1
"PRSS16"	-16	1
"NUDT12"	-16.4	1
"GHR"	-19.6	1
"PCDHB15"	-19.5	1
"GRM6"	-18.7	1
"THG1L"	-16.8	1
"IRX4"	-13.2	1
"LNPEP"	-17.2	1
"ST8SIA4"	-18.9	1
"SLC7A14"	-22	2
"MLH1"	-16.8	1
"GNAT1"	-15	1
"KLHL18"	-20.3	1
"NKTR"	-17	1
"EIF2AK2"	-21.2	2
"TMSB10"	-14.7	1
"NDUFS1"	-21.9	1
"TTL"	-23.4	1
"IGFBP5"	-19	1
"IL1RL1"	-15.6	1
"GORASP2"	-18.1	1
"SLC1A4"	-19	1
"ORC2"	-15.4	1
"PLEK"	-17.5	1
"NT5C1A"	-22.3	3
"AKR7A2"	-19.1	2
"SLC19A2"	-17.5	1
"SELL"	-15.7	1
"VAMP4"	-16.5	1
"A4GNT"	-14.6	1
"TBPL1"	-16.5	1
"FBXO30"	-17.4	1
"PKD2"	-15.7	1
"CCDC92"	-17	1
"YIPF4"	-20.2	1
"CRIPT"	-20.8	1
"FAM178A"	-16.1	1
"CCDC170"	-17.9	1
"MSANTD2"	-22	1
"RDH10"	-16.2	1
"ZNF141"	-20.6	1
"TAS2R10"	-17.9	1
"GJA3"	-20.5	1
"AHR"	-21.1	1
"SCRN1"	-20.7	1
"FKBP9"	-19.1	1
"KIAA1045"	-18.2	1
"DCAF10"	-18.4	1
"BHLHE41"	-18.8	1
"SSPN"	-15.6	1
"COL10A1"	-19.5	1
"RAB9B"	-17.8	2
"RIF1"	-18.3	1
"NMI"	-15.4	1
"PLA2G12A"	-18.7	2
"LTBP4"	-18.3	1
"ZNF468"	-18.8	1
"DST"	-12.3	1
"RRP36"	-19.3	1
"CDKN1A"	-16.6	1
"SSR1"	-21.5	1
"ATXN1"	-19.9	1
"EFNB2"	-15.7	1
"SLC22A5"	-17.2	1
"PTGER2"	-16.7	1
"NUP85"	-18.5	1
"INSIG2"	-17.9	1
"RTN2"	-19.2	1
"CD93"	-19	1
"PSMF1"	-18.7	1
"TMX4"	-17.8	1
"NCLN"	-17.4	1
"CCR7"	-17.9	1
"GLTSCR2"	-16	1
"SUGP1"	-17	1
"AHDC1"	-17.2	1
"ATG14"	-16.1	1
"CANX"	-18.7	1
"KLF2"	-19.4	2
"RAB40C"	-20.6	1
"DGCR6L"	-24.1	1
"CYTH4"	-20.9	2
"C22orf24"	-16.8	1
"LRRC4"	-17.5	1
"AMOTL2"	-15.8	1
"USP6"	-15.2	1
"MRM1"	-15.2	1
"EMR1"	-19	1
"ZC3H14"	-19.1	2
"LMAN1"	-16.7	1
"DSC2"	-19	1
"DOCK7"	-19.4	1
"SULT1C2"	-17.8	1
"ESYT2"	-18.9	1
"DHX58"	-13.8	1
"KIAA1244"	-17.6	1
"RRM2B"	-15.3	1
"SCML2"	-19.3	1
"ALG13"	-15.3	2
"C20orf194"	-17.5	2
"UBE4A"	-18.3	1
"KRT6B"	-13.5	1
