"ensembl_gene_id"	"external_gene_name"	"kb"	"x"	"FPKM"
"ENSG00000000003"	"TSPAN6"	3.796	92.1648779065086	24.2794725781108
"ENSG00000000005"	"TNMD"	1.205	0.0177627972166964	0.014740910553275
"ENSG00000000419"	"DPM1"	1.161	37.2949189910149	32.1230999061282
"ENSG00000000457"	"SCYL3"	6.308	11.061944741851	1.75363740359083
"ENSG00000000460"	"C1orf112"	4.355	18.7139745364571	4.29712388896833
"ENSG00000000938"	"FGR"	2.637	0	0
"ENSG00000000971"	"CFH"	6.985	0.0434223511484089	0.00621651412289319
"ENSG00000001036"	"FUCA2"	2.385	79.5205174504918	33.3419360379421
"ENSG00000001084"	"GCLC"	3.785	46.1525200220041	12.1935323704106
"ENSG00000001167"	"NFYA"	3.811	63.4687067916878	16.6540820760136
"ENSG00000001460"	"STPG1"	6.016	28.0897909643176	4.66918067890917
"ENSG00000001461"	"NIPAL3"	5.481	63.4465070308569	11.5757173929679
"ENSG00000001497"	"LAS1L"	5.205	178.101871453133	34.2174584924366
"ENSG00000001561"	"ENPP4"	4.644	15.4265399686139	3.32182169866794
"ENSG00000001617"	"SEMA3F"	3.607	36.5387993987567	10.1299693370548
"ENSG00000001626"	"CFTR"	6.132	0.167165574243333	0.0272611830142421
"ENSG00000001629"	"ANKIB1"	6.34	63.3977531918663	9.99964561385904
"ENSG00000001630"	"CYP51A1"	3.155	15.5150813471566	4.91761690876597
"ENSG00000001631"	"KRIT1"	4.762	50.1234388397078	10.5257116421058
"ENSG00000002016"	"RAD52"	3.023	26.2724269816425	8.69084584242225
"ENSG00000002079"	"MYH16"	5.836	0.821789149548281	0.140813767914373
"ENSG00000002330"	"BAD"	1.157	11.4285759524436	9.87776659675337
"ENSG00000002549"	"LAP3"	2.213	135.243282885458	61.1130966495518
"ENSG00000002586"	"CD99"	1.278	144.858629726108	113.347910583809
"ENSG00000002587"	"HS3ST1"	7.16	0.0519657846241118	0.00725779114861896
"ENSG00000002726"	"AOC1"	3.135	0.113618284872222	0.0362418771522238
"ENSG00000002745"	"WNT16"	3.15	0.284540097036811	0.0903301895354956
"ENSG00000002746"	"HECW1"	9.453	1.15956126005832	0.122665953671673
"ENSG00000002822"	"MAD1L1"	2.991	60.8438175605627	20.3422994184429
"ENSG00000002834"	"LASP1"	4.023	65.7306938234696	16.3387257826174
"ENSG00000002919"	"SNX11"	2.733	24.4546219358691	8.94790411118519
"ENSG00000002933"	"TMEM176A"	2.065	0.051030309896834	0.0247120144778857
"ENSG00000003056"	"M6PR"	2.45	82.5578314896392	33.6970740774037
