"SYMBOL"	"energy"	"Nsites"
"FKBP4"	-24.2	1
"CYP26B1"	-31.2	1
"HS3ST1"	-27.6	1
"GGCT"	-23	1
"COPZ2"	-22.9	1
"CAMK1G"	-20.7	1
"PPP5C"	-26.3	1
"GPRC5A"	-25.9	1
"COX15"	-22.4	1
"PSMA4"	-23.3	1
"KIAA2022"	-22.7	2
"TLL1"	-23	1
"FAM168A"	-26	1
"MRPS35"	-23.1	1
"GPKOW"	-24.7	1
"CAMKK1"	-28.4	1
"CELSR3"	-25	1
"EPHA8"	-25.7	1
"ST6GAL1"	-25.5	1
"TNS1"	-24.7	1
"PTPN18"	-22.8	1
"STK10"	-25.9	1
"TMEM38A"	-24.7	1
"UHRF1BP1"	-28.2	1
"PCDHB4"	-21.1	1
"SEMA5B"	-23.9	1
"ADAM11"	-25.9	1
"RALGAPA2"	-27.2	2
"OAS1"	-26.3	1
"TFAP4"	-33.6	2
"OSM"	-26.4	1
"MAPK1"	-25.2	2
"TCN2"	-28.5	1
"CENPM"	-26.5	1
"TOMM22"	-21.4	1
"JOSD1"	-27.1	1
"RASD2"	-23.7	1
"TTLL12"	-23.2	1
"CBX7"	-28.5	1
"TAB1"	-25.3	2
"PHF5A"	-27.2	1
"ZBED4"	-22.6	1
"CDKL1"	-23.4	1
"GNPNAT1"	-22.9	1
"TMED8"	-30.9	1
"SPTLC2"	-28.7	2
"EIF5"	-25.7	1
"MTHFD1"	-23.3	1
"ORC6"	-25.1	1
"USP31"	-21.6	1
"AQP9"	-23.6	1
"EHD4"	-25.5	2
"OIP5"	-24.6	1
"BLOC1S6"	-23.3	1
"EXTL3"	-22.8	1
"AGO2"	-25.1	1
"SFRP1"	-24.5	1
"PYCRL"	-25.7	1
"MTMR9"	-24.3	1
"KCNA7"	-29	1
"PPP1R37"	-24.3	1
"RAB3D"	-27.3	1
"UBE2D4"	-25.5	1
"BET1"	-18.7	1
"HBP1"	-21.2	1
"HOXA13"	-24.1	1
"SERPINE1"	-22.2	1
"PSMA2"	-24.3	1
"TNFSF8"	-27.9	1
"RLN1"	-17.9	1
"CCSER2"	-22.1	1
"OBFC1"	-25.3	1
"NSF"	-19.9	1
"CCL1"	-23.4	1
"KAT2A"	-24.6	1
"DUSP3"	-22.9	1
"HLF"	-26.2	1
"CLNK"	-21	1
"DTX4"	-26.2	1
"APOC3"	-22.5	1
"IL10RA"	-27.1	1
"LTBR"	-24.3	1
"ART4"	-22.1	1
"NANOG"	-24.1	1
"SLC44A4"	-23.5	1
"STK38"	-23.1	1
"GPR63"	-23.6	1
"LAMA4"	-24.8	1
"DAP"	-23.7	1
"PCDHB15"	-25.2	1
"GRM6"	-23.4	2
"BTNL8"	-24.5	1
"AGXT2"	-22.3	1
"UMPS"	-24.2	1
"EIF2AK2"	-24.9	2
"NDUFS1"	-25.3	2
"APOB"	-28.9	1
"FAHD2A"	-27.3	1
"TTC31"	-20.6	1
"TCEANC2"	-24.6	2
"C1orf21"	-23.4	1
"NT5C1A"	-24.4	1
"AKR7A2"	-24.6	1
"LEPRE1"	-31.8	1
"SLC8A2"	-26	2
"TCF21"	-23.1	1
"MED28"	-26.3	1
"SOGA1"	-26.2	1
"PTGR1"	-24.8	1
"FKBP15"	-23.2	2
"PAPOLG"	-23.3	1
"PANK3"	-22.9	1
"CCDC170"	-21.9	1
"FAM53C"	-23	1
"KALRN"	-27.1	1
"MAPK8IP1"	-23.2	1
"GJA3"	-27.1	1
"MYOG"	-20	1
"SCRN1"	-20.9	1
"EEPD1"	-24.1	1
"HAUS3"	-25.7	1
"MOCS3"	-20.2	1
"EREG"	-30.3	2
"C3"	-25.8	1
"NECAB3"	-25.5	1
"CAPNS1"	-24.4	1
"KRT35"	-29.6	1
"CCR7"	-25.2	1
"ELK1"	-25.8	2
"CYP4F11"	-25.7	1
"KLF2"	-30.1	2
"GFER"	-25	1
"GNAZ"	-25.2	1
"CCDC117"	-21.4	1
"HOXD11"	-26.9	1
"IVD"	-25.6	1
"SEC14L5"	-27.8	1
"KIAA1244"	-25.2	1
"RHOBTB2"	-29.6	1
"CUL9"	-18.8	1
"TMCO6"	-26.5	1
"DGCR14"	-28.8	3
"NCAN"	-24.2	1
"SLC27A1"	-24.9	1
"ACTN4"	-22.8	1
"EPO"	-24.9	1
"NUMBL"	-24.1	1
"CEP85"	-27.6	1
"LSM14B"	-24.8	1
"FIBCD1"	-28.4	1
"CCDC62"	-22.3	1
"GRWD1"	-30.2	3
"ARHGEF9"	-24.5	1
"GINS2"	-27.4	1
"MRPS25"	-24.5	1
"G6PC"	-24.4	1
"FLYWCH1"	-25.3	1
